Gene	cont_rep1	cont_rep2	treat_rep1	treat_rep1
Aats-ser	569	500	538	86
Aats-thr	2651	1444	2828	330
Aats-trp	710	788	772	158
Aats-tyr	816	583	1102	136
Aats-val	605	326	661	40
Abd-B	2	3	2	0
Abi	98	98	163	15
Abl	348	79	248	50
Ac13E	38	41	22	3
Ac3	11	0	4	0
Ac76E	6	3	14	5
Ac78C	3	7	3	0
AcCoAS	1580	828	507	59
Acam	0	0	0	0
Ace	5	4	0	0
Acer	57	92	315	8
Acf1	129	262	160	56
Ack	725	175	469	33
Ack-like	57	110	86	29
Acn	146	211	140	17
Acon	275	203	746	35
Acox57D-d	294	367	303	45
Acox57D-p	220	182	216	27
Acp1	0	0	0	0
Acp24A4	0	0	0	0
Acp26Aa	2	0	0	0
Acp26Ab	1	0	0	0
Acp29AB	0	0	0	0
Acp32CD	0	0	1	0
Acp36DE	9	2	7	0
Acp53C14a	2	0	0	0
Acp53C14b	2	0	0	0
Acp53C14c	0	0	0	2
Acp53Ea	9	2	0	2
Acp54A1	10	0	2	0
Acp62F	3	2	0	0
Acp63F	8	0	0	0
Acp65Aa	0	0	0	0
Acp70A	6	5	0	0
Acp76A	0	0	2	5
Acp95EF	0	0	0	0
Acp98AB	0	0	0	0
Acph-1	568	494	650	102
Acsl	237	359	290	72
Act42A	235	246	641	43
Act57B	43	9	92	1
Act5C	7431	3717	10952	492
Act79B	0	0	0	0
Act87E	0	1	1	0
Act88F	0	1	1	0
Actbeta	5	0	5	1
Actn	845	329	810	30
Actn3	0	0	1	0
Acyp	1	0	0	0
Acyp2	507	651	415	178
Ada	48	42	43	12
Ada1-1	268	137	114	17
Ada1-2	342	237	296	64
Ada2a	102	79	96	16
Ada2b	2089	1126	1878	252
Adam	484	595	691	126
Adar	270	215	212	51
Adf1	415	269	447	31
Adgf-A	46	34	24	1
Adgf-B	0	0	0	0
Adgf-C	2	4	4	0
Adgf-D	7	0	10	0
Adgf-E	0	0	3	0
Adh	1950	1566	3031	384
Adhr	10	11	59	2
Adk1	231	200	105	38
Adk2	4334	1922	3317	528
Adk3	408	247	250	39
AdoR	6	6	11	2
Ady43A	390	199	373	77
Aef1	57	84	75	21
Afti	61	76	82	27
Ag5r	2	0	0	1
Ag5r2	0	0	1	1
Ahcy13	9608	4389	5995	887
Ahcy89E	19	0	16	0
Ak6	352	295	527	153
Akap200	1038	577	961	118
Akh	0	0	0	0
Akt1	906	650	918	72
AlCR2	0	0	1	0
Alas	352	150	238	24
Ald	1605	485	1664	88
Aldh	6324	4186	6375	844
Aldh-III	154	247	232	28
Alg-2	2909	2838	2602	807
Alg10	679	494	642	65
Alh	561	439	660	62
Alk	0	0	10	0
AlkB	1214	943	783	172
Alr	64	20	35	2
AlstR	37	0	4	0
Ama	0	0	0	0
Amph	154	96	290	15
Amun	1755	452	1246	76
Amy-d	0	108	0	1
Amy-p	0	131	0	0
Amyrel	2	0	8	0
Ance	94	53	132	9
Ance-2	0	0	1	0
Ance-3	9	0	0	0
Ance-4	10	1	4	1
Ance-5	12	3	2	1
Andorra	0	0	0	0
Ank	336	457	268	106
Ank2	8	7	17	3
AnnIX	4158	1592	2695	330
AnnX	1742	860	983	175
Anp	2	0	0	0
Ant2	0	0	25	0
Antp	5	4	22	2
Anxb11	140	90	162	20
Aos1	3871	3126	2753	879
Apc	66	139	57	26
Apc10	390	249	311	66
Apc2	111	159	187	30
Apc7	2575	1214	2012	203
ApepP	1121	651	1115	130
Apf	375	206	213	36
Aph-4	1032	594	562	121
Aplip1	0	0	0	1
Appl	3	0	4	0
Aprt	222	168	159	24
Aps	270	342	507	81
Arc1	665	510	1344	230
Arc2	184	220	102	28
Arc42	1357	689	899	100
Arf102F	7155	6101	6047	1918
Arf51F	1165	705	1312	178
Arf72A	1463	1271	1170	229
Arf79F	932	832	1045	197
Arf84F	571	449	478	140
ArfGAP3	1250	591	1188	58
Argk	1324	466	2231	127
Ark	55	34	19	4
Arp1	2302	1177	1807	166
Arp10	521	385	439	82
Arp2	932	1009	551	110
Arp3	1198	562	980	115
Arp5	194	181	182	40
Arp53D	0	0	5	0
Arp6	372	393	331	42
Arp8	1846	1114	981	239
Arpc1	1171	325	802	23
Arpc2	4240	2914	4315	792
Arpc3A	751	600	665	154
Arpc3B	31	3	44	9
Arpc4	1372	1278	1159	233
Arpc5	28	124	119	26
Arr1	0	0	0	0
Arr2	2	0	0	0
Ars2	82	74	175	11
Art1	192	348	298	44
Art2	0	0	1	0
Art3	258	187	194	37
Art4	117	178	119	20
Art6	0	0	1	0
Art7	639	307	474	52
Art8	413	326	304	56
Art9	0	0	0	3
Asap1	1038	334	596	80
Asator	207	26	230	21
Asph	7	33	21	1
Ast	0	0	0	0
Ast-C	0	0	0	0
Ast-CC	0	0	3	0
Asx	100	75	55	21
Atac1	125	198	146	40
Atac2	33	36	27	6
Atac3	294	198	212	25
Ate1	655	486	574	56
Atet	90	42	160	11
Atf-2	36	17	46	3
Atf3	10	19	3	1
Atf6	560	1210	1471	609
Atg1	471	171	482	41
Atg12	634	552	515	89
Atg13	435	152	376	35
Atg18	920	357	637	82
Atg2	109	112	160	13
Atg4	637	347	378	28
Atg5	792	524	449	114
Atg6	180	311	116	43
Atg7	335	339	445	56
Atg8a	1168	374	922	110
Atg8b	0	0	0	0
Atg9	123	163	274	37
Atox1	1342	1191	1309	303
Atpalpha	925	416	711	45
AttA	6	0	18	22
AttB	14	0	5	16
AttC	1	5	0	4
AttD	0	0	0	2
Atu	468	369	402	45
Atx-1	1	0	1	0
Atx2	150	77	127	22
Aut1	297	302	202	58
Aven	138	65	124	17
Awh	0	0	5	0
Axn	383	46	382	24
Axs	227	148	178	14
Axud1	228	126	199	17
B-H1	0	0	0	0
B-H2	0	0	0	0
B4	949	327	997	74
B52	856	876	1381	182
BBS1	0	0	1	0
BBS4	1	0	0	0
BBS8	0	0	2	0
BCL7-like	451	431	441	52
BEAF-32	2233	1558	1535	360
BG4	217	245	149	37
BG642163	0	0	3	0
BG642167	0	0	0	0
BG642312	58	0	21	5
BHD	40	51	42	8
BI-1	2642	1346	2032	281
BM-40-SPARC	300	126	275	30
BRWD3	125	159	240	53
BTBD9	273	130	302	29
Bace	4	85	3	5
Baldspot	569	218	647	26
Bap	2075	747	1804	156
Bap170	80	94	139	27
Bap55	239	523	299	80
Bap60	2943	1991	1924	413
Bem46	913	364	638	80
Best1	338	287	287	60
Best2	1336	316	930	75
Best3	0	0	1	0
Best4	0	0	0	0
Bet1	263	356	318	79
Bet3	1071	722	687	178
Bet5	73	65	50	22
Bgb	1568	1226	771	228
BicC	3299	1714	3585	382
BicD	808	594	906	119
Bili	1	0	2	7
Bin1	1455	1178	1140	298
Bj1	6681	5429	4205	828
Bka	1524	1195	1074	278
Blimp-1	0	0	0	0
Blm	42	54	29	20
Bmcp	814	366	795	80
BoYb	123	180	103	16
BobA	0	0	0	0
Br140	1247	283	873	58
Brca2	19	32	12	8
Brd	0	0	1	0
Brd8	471	215	309	47
Bre1	132	207	154	29
Brf	23	48	50	1
Bro	3	0	6	0
Bruce	227	369	218	72
Bsg	135	104	196	59
Bsg25A	0	0	0	0
Bsg25D	52	110	79	27
BtbVII	1039	337	955	58
Btd	0	2	5	0
Bteb2	0	0	2	0
BthD	179	296	143	51
Btk29A	320	357	517	90
Bub1	84	54	127	8
Bub3	280	267	386	59
BubR1	99	159	109	39
Buffy	150	87	83	40
Bx	1237	647	673	171
Bx42	1923	1271	1403	222
Bzd	559	389	325	72
C15	1	0	1	0
C1GalTA	673	496	704	128
C3G	299	124	222	23
C901	0	0	1	0
CAH1	0	28	3	1
CAH2	125	70	96	11
CAHbeta	17	72	33	26
CAP	36	13	30	11
CAP-D2	30	73	51	10
CASK	168	106	232	20
CBP	2396	918	1643	126
CCHa1	2	0	0	0
CCHa1r	1	0	3	0
CCHa2	11	4	1	2
CCHa2r	1	0	7	5
CCKLR-17D1	1	0	0	0
CCKLR-17D3	1	1	0	0
CCS	258	304	196	34
CD98hc	5857	4579	4880	693
CDC45L	1099	892	726	145
CDase	9	4	3	0
CG10000	1	0	0	0
CG10005	60	25	14	5
CG10006	3	2	3	0
CG10011	33	26	35	4
CG10013	2	0	3	0
CG10014	0	0	0	0
CG10019	3	3	1	1
CG10026	5	8	0	0
CG10029	0	0	0	0
CG10031	3	0	0	0
CG10032	0	0	0	0
CG10035	0	0	2	0
CG10038	238	152	116	43
CG10041	0	0	2	0
CG10050	456	333	264	65
CG10051	0	0	2	1
CG10053	6	34	12	6
CG10055	827	377	506	69
CG10062	0	3	9	0
CG10063	5	3	34	0
CG10064	0	1	1	0
CG10068	1274	455	836	113
CG10073	0	0	0	0
CG10075	971	685	703	144
CG10077	1015	449	1082	90
CG10081	0	0	9	0
CG10082	81	65	102	18
CG10083	437	254	432	43
CG10086	0	1	9	0
CG10089	2	5	1	0
CG10092	149	181	183	30
CG10096	1	0	4	0
CG10097	1	6	6	0
CG10098	1716	1578	942	370
CG10103	192	233	162	33
CG10104	0	0	1	0
CG10116	0	2	3	0
CG10126	12	20	15	1
CG10131	3	0	7	0
CG10132	9	7	5	1
CG10133	157	223	176	26
CG10137	40	8	43	5
CG10139	156	216	117	39
CG10140	1	0	0	0
CG10144	526	381	411	78
CG10147	20	16	27	8
CG10151	0	1	36	7
CG10153	62	87	88	9
CG10154	0	0	0	0
CG10157	1019	717	514	88
CG10158	497	429	451	78
CG10163	1008	119	1310	71
CG10164	1	0	0	0
CG10165	255	189	201	13
CG10166	412	419	422	110
CG10168	0	0	1	0
CG10170	0	1	2	0
CG10171	825	502	501	73
CG10175	20	0	14	0
CG10176	24	5	35	5
CG10177	1	0	1	1
CG10178	37	45	137	20
CG10182	1	0	1	1
CG10183	0	0	0	0
CG10184	269	161	270	34
CG10185	4	4	7	0
CG10186	0	3	0	0
CG10188	134	88	177	36
CG10189	111	63	180	16
CG10194	48	96	51	16
CG10195	249	144	129	60
CG10200	0	0	0	0
CG10202	2	0	0	0
CG10205	0	1	1	0
CG10208	202	151	92	16
CG10209	45	61	44	3
CG1021	538	210	209	18
CG10211	4	0	13	0
CG10214	168	228	125	52
CG10217	252	317	203	45
CG10219	816	208	611	56
CG10222	949	807	675	204
CG10226	10	10	7	0
CG10232	0	0	3	0
CG10237	276	212	452	56
CG1024	334	313	311	87
CG10249	123	40	234	36
CG10252	0	1	3	0
CG10253	0	0	0	0
CG10254	994	1259	1422	248
CG10257	0	0	1	0
CG10262	22	17	27	3
CG10264	8	2	7	0
CG10265	17	20	34	13
CG10268	151	122	110	21
CG10274	1287	1071	787	137
CG10277	1619	470	1031	75
CG10280	0	0	8	0
CG10283	31	0	54	5
CG10286	219	196	348	32
CG10289	130	143	127	24
CG10298	1	0	3	0
CG10300	0	1	0	0
CG10301	0	0	1	0
CG10306	2578	1857	2130	443
CG10307	1	0	3	0
CG10311	10	7	20	3
CG10317	0	0	0	0
CG10320	1754	1518	1265	253
CG10321	419	330	352	47
CG10324	10	54	16	8
CG10326	855	804	750	190
CG10332	3	0	0	0
CG10333	37	49	68	10
CG10336	728	469	385	60
CG10337	253	121	157	15
CG10338	875	431	579	90
CG10339	5	0	5	0
CG10340	724	599	651	113
CG10341	41	24	42	8
CG10343	352	231	345	64
CG10344	230	264	139	53
CG10345	1	0	1	0
CG10347	1064	751	881	148
CG10348	2	0	1	0
CG10352	3	0	0	1
CG10353	126	85	77	24
CG10357	4	0	0	0
CG10359	0	0	0	0
CG10361	0	2	2	0
CG10362	2	0	0	0
CG10365	885	378	543	82
CG10366	129	102	162	21
CG10375	871	1028	617	242
CG10376	48	63	28	12
CG10383	10	21	17	3
CG10384	0	0	0	0
CG10395	547	493	521	156
CG10396	0	0	1	0
CG10399	82	76	81	9
CG10405	2	0	3	0
CG10407	1127	154	2643	128
CG1041	140	113	190	24
CG10413	913	408	926	97
CG10417	688	537	625	289
CG10418	848	572	426	112
CG10420	139	56	173	34
CG10424	441	367	417	67
CG10425	176	462	172	77
CG10426	57	53	111	16
CG10428	252	184	263	36
CG10431	20	13	11	3
CG10433	24	54	53	15
CG10435	410	262	364	58
CG10440	5	0	1	0
CG10444	1255	896	1168	145
CG10445	5	20	11	9
CG10459	0	0	1	0
CG10462	45	74	14	13
CG10463	226	202	263	33
CG10465	612	1753	1293	581
CG10466	415	285	318	63
CG10467	40	67	97	12
CG10469	17	4	24	0
CG10470	1280	1551	1146	317
CG10472	0	1	2	1
CG10474	0	0	1	0
CG10476	0	0	0	0
CG10477	1	9	0	1
CG10479	0	0	11	0
CG10481	0	0	1	0
CG10483	5	4	12	1
CG10486	0	0	0	0
CG10492	100	42	146	18
CG10494	456	305	289	32
CG10495	786	431	556	138
CG10496	27	56	59	13
CG10505	21	6	1	4
CG10508	14	0	3	0
CG10510	0	0	2	0
CG10512	44	75	158	14
CG10513	3	1	12	2
CG10514	17	23	112	23
CG10516	259	338	175	61
CG10527	1981	1304	1349	360
CG10543	80	56	103	24
CG10550	1	0	9	1
CG10553	4	0	5	0
CG10555	1140	291	566	45
CG10559	4	2	6	0
CG10560	5	1	9	0
CG10561	533	274	274	59
CG10562	1	8	1	0
CG10565	1184	1145	1319	215
CG10566	0	0	0	0
CG10570	10	4	21	7
CG10576	11727	6999	8791	1373
CG10581	6	10	4	1
CG10584	160	128	147	16
CG10585	570	428	460	59
CG10587	0	0	0	0
CG10588	5	0	0	0
CG10589	1	0	1	1
CG10590	888	362	921	71
CG10591	0	0	2	0
CG10592	7	3	2	1
CG10597	3	0	0	0
CG10598	0	0	2	0
CG10600	23	27	64	12
CG10602	102	226	275	39
CG10616	179	230	185	43
CG10621	37	22	24	4
CG10623	295	156	499	88
CG10625	10	0	0	0
CG10628	297	219	209	22
CG10631	72	102	53	27
CG10635	2491	3300	2182	813
CG10638	907	694	800	123
CG10639	34	68	88	5
CG10641	73	142	169	24
CG10646	64	183	133	46
CG10650	8	3	2	1
CG10651	0	0	1	0
CG10654	83	20	35	11
CG10657	0	1	10	0
CG10659	0	16	0	1
CG10660	5	13	11	0
CG10663	11	1	6	0
CG10669	132	135	121	20
CG10671	601	296	420	59
CG10672	258	387	308	75
CG10673	377	309	278	86
CG10674	283	210	174	42
CG10680	0	2	0	4
CG10681	166	190	61	43
CG10688	520	658	345	151
CG10694	4	0	6	1
CG10700	1	0	2	0
CG10702	406	334	212	52
CG10703	1072	444	692	82
CG10710	1	0	6	0
CG10713	2	0	0	1
CG10721	98	105	88	17
CG10725	0	0	1	0
CG10730	3	0	9	1
CG10731	413	365	439	99
CG10732	26	36	18	13
CG10734	0	0	3	0
CG10737	263	130	235	23
CG10738	65	20	34	2
CG1074	986	770	775	141
CG10741	443	257	311	60
CG10747	107	75	71	14
CG10748	0	0	0	1
CG10749	0	1	0	0
CG10750	0	0	12	0
CG10752	1	0	5	0
CG10754	133	51	150	14
CG10761	2	0	7	0
CG10764	9	0	8	1
CG1077	38	16	112	1
CG10777	1900	675	845	105
CG10778	1239	1078	1151	333
CG10793	1	0	3	0
CG10795	21	11	22	5
CG10799	1	1	6	0
CG10801	3	3	0	0
CG10802	735	535	573	116
CG10803	65	127	104	23
CG10804	11	0	0	0
CG10809	69	27	139	8
CG10814	0	0	2	0
CG10822	0	0	0	0
CG10824	12	5	5	2
CG10827	0	0	1	0
CG10830	7	1	3	1
CG10834	0	0	0	0
CG10839	0	0	1	0
CG10841	0	0	0	0
CG10845	0	0	1	0
CG10853	0	0	0	0
CG10858	1	0	0	0
CG10859	1	0	1	0
CG10862	0	0	5	0
CG10863	247	284	309	58
CG10864	2	0	7	3
CG10866	493	643	442	115
CG10869	5	2	1	0
CG10874	45	113	93	19
CG10877	57	48	68	9
CG10880	630	917	702	216
CG10881	0	0	0	0
CG10887	1	0	3	1
CG10889	301	116	236	23
CG10898	32	45	43	5
CG10899	1	0	1	0
CG1090	0	0	7	0
CG10903	208	281	315	67
CG10904	211	421	174	56
CG10907	33	68	41	14
CG10909	0	0	0	0
CG1091	170	214	197	41
CG10910	0	6	5	0
CG10911	2	4	2	0
CG10912	0	0	3	0
CG10914	130	58	138	9
CG10915	554	233	497	42
CG10916	67	34	130	19
CG10918	0	0	3	0
CG10919	0	0	0	0
CG1092	9	0	20	0
CG10920	1	0	0	0
CG10924	0	0	1	0
CG10927	19	36	15	8
CG10931	3	0	2	1
CG10932	6192	2841	3913	685
CG10933	0	1	2	0
CG10934	0	0	0	0
CG10936	12	2	23	0
CG10943	0	1	0	0
CG10947	0	0	8	0
CG10948	24	16	3	3
CG10949	244	198	195	47
CG10950	1	2	0	0
CG10953	0	0	0	0
CG10958	24	7	38	5
CG10959	534	315	402	72
CG10960	1674	1716	1636	318
CG10962	2	1	2	0
CG10969	0	0	3	0
CG10970	7	4	6	1
CG10973	11	40	25	8
CG10979	132	101	95	15
CG10984	29	52	56	25
CG10993	1	0	1	0
CG10996	2	0	10	0
CG11000	11	1	10	0
CG11007	1262	1299	1247	446
CG11018	5	0	3	0
CG11023	8	0	3	0
CG11029	8	0	1	0
CG1103	786	392	539	91
CG11030	218	174	190	37
CG11034	26	31	81	8
CG11035	123	102	103	25
CG11037	3	0	0	0
CG1104	20	17	28	10
CG11041	0	0	0	0
CG11043	6	0	9	0
CG11044	10	0	0	0
CG1105	1573	1124	931	276
CG11050	1902	1126	1294	294
CG11052	14	1	0	1
CG11055	95	90	224	21
CG11060	0	0	1	2
CG11068	2	0	2	0
CG11069	16	5	50	0
CG11070	151	179	296	43
CG11073	0	0	0	0
CG11076	1354	1568	1749	248
CG11077	455	511	293	121
CG11085	4	0	1	0
CG11089	2029	1583	1730	232
CG1109	1185	812	645	149
CG11092	490	733	676	146
CG11095	82	86	72	17
CG11099	5	0	2	0
CG11103	145	219	136	31
CG11106	0	0	2	0
CG11107	1184	643	1221	121
CG11109	721	455	589	78
CG11110	442	503	279	114
CG11112	0	0	0	0
CG11113	0	0	3	0
CG11120	42	60	76	19
CG11122	52	54	61	8
CG11123	35	113	112	30
CG11125	21	51	36	7
CG11127	706	404	423	69
CG1113	0	0	1	0
CG11131	1	0	16	0
CG11134	646	331	389	39
CG11137	4285	4855	2742	1111
CG11138	354	196	295	28
CG11141	830	529	540	57
CG11145	0	0	0	0
CG11147	11	3	77	3
CG11148	651	636	317	193
CG11149	0	0	0	0
CG1115	805	625	620	158
CG11151	1815	1166	977	219
CG11155	28	28	88	10
CG11158	197	72	196	21
CG11159	0	0	1	0
CG1116	756	437	445	88
CG11160	0	0	25	0
CG11162	0	1	0	0
CG11163	375	82	178	14
CG11164	352	758	307	118
CG11165	0	0	0	0
CG11168	90	49	73	3
CG11170	602	521	425	127
CG11178	526	369	321	45
CG11180	16	33	24	20
CG11188	165	188	248	51
CG11190	1941	876	1232	197
CG11191	0	0	3	0
CG11192	0	0	3	0
CG11200	118	142	237	45
CG11208	4363	1366	2552	166
CG11210	382	272	560	50
CG11211	0	0	0	2
CG11221	0	0	0	0
CG11226	0	0	1	0
CG11227	0	0	0	0
CG11231	15	1	2	0
CG11236	2	0	0	1
CG1124	42	7	62	5
CG11241	202	98	193	41
CG11247	12	32	27	3
CG11248	180	242	299	40
CG11249	0	0	7	0
CG11251	1	0	3	0
CG11253	4	1	2	0
CG11255	2299	1001	1544	249
CG11257	486	311	313	67
CG1126	12	0	1	0
CG11261	14	25	20	8
CG11262	1	0	2	0
CG11263	406	227	267	97
CG11266	1572	1108	828	138
CG11267	1456	1892	1471	288
CG11269	3	0	0	0
CG11275	79	58	28	11
CG11279	886	911	868	280
CG11284	532	558	603	105
CG11286	0	0	0	0
CG11289	0	1	1	0
CG1129	575	495	613	83
CG11291	0	0	2	0
CG11294	1	0	0	0
CG11298	0	0	6	0
CG11300	5	0	0	0
CG11306	721	547	645	113
CG11307	6	5	3	8
CG11309	1281	733	788	211
CG11313	0	0	0	2
CG11317	0	0	0	0
CG11318	3	0	1	0
CG11319	28	13	30	5
CG11320	14	2	19	2
CG11321	1	0	5	0
CG11322	0	0	2	0
CG11327	0	0	2	0
CG11329	1364	1190	678	311
CG11333	4	0	0	0
CG11334	296	275	311	47
CG11337	175	78	193	11
CG11340	6	0	9	0
CG11342	106	156	82	41
CG11345	0	0	0	0
CG11349	0	0	0	0
CG11350	0	0	0	0
CG11353	26	1	29	1
CG11356	0	0	0	0
CG11357	415	442	411	73
CG1136	9	9	30	2
CG11360	40	99	128	19
CG11362	1	2	2	0
CG11367	42	81	97	16
CG11368	0	0	0	0
CG11369	1	0	0	0
CG1137	0	0	0	0
CG11370	0	0	3	0
CG11373	0	0	0	0
CG11374	6	0	0	1
CG11377	764	895	674	166
CG11378	132	47	145	17
CG11379	0	0	0	0
CG1138	1	0	0	0
CG11380	4	1	8	0
CG11381	7	7	28	0
CG11382	27	10	36	5
CG11384	2	0	12	0
CG11388	34	10	38	1
CG1139	0	4	0	0
CG11391	2	0	1	0
CG11395	11	2	16	0
CG11396	28	83	65	23
CG11398	423	323	270	44
CG11399	266	172	332	36
CG1140	976	403	852	74
CG11400	26	23	21	8
CG11403	1434	1002	851	168
CG11404	0	0	0	0
CG11406	9	0	1	0
CG11407	0	0	2	0
CG11409	5	0	21	2
CG11412	1402	731	941	112
CG11413	0	0	0	0
CG11414	49	86	107	17
CG11417	809	327	609	76
CG11418	863	472	535	51
CG1142	236	206	243	76
CG11423	6	1	6	0
CG11425	0	1	5	0
CG11426	29	27	22	2
CG1143	14	0	0	0
CG11436	1122	763	777	166
CG11437	0	0	0	0
CG11438	20	2	5	1
CG11444	3932	3269	2937	704
CG11447	507	293	332	73
CG11448	173	83	26	16
CG11449	0	0	2	0
CG11453	0	6	27	0
CG11454	462	633	269	145
CG11455	3590	2807	2024	599
CG11456	258	304	307	54
CG11458	0	0	0	0
CG11459	0	3	1	2
CG1146	18	13	33	4
CG11470	2	0	0	0
CG11474	163	443	217	108
CG11475	4	4	5	1
CG11486	258	230	200	64
CG11498	0	0	0	0
CG11504	113	61	154	30
CG11505	397	233	393	63
CG11509	0	0	0	0
CG11523	67	141	36	20
CG11526	434	173	489	33
CG11529	2	0	12	0
CG11534	1018	641	588	156
CG11537	873	128	509	49
CG11539	222	98	113	29
CG11550	0	0	0	0
CG11555	146	115	238	33
CG11560	114	289	134	58
CG11562	536	570	321	137
CG11563	902	895	875	225
CG11566	0	0	3	0
CG11570	0	0	2	0
CG11576	427	175	251	27
CG11577	1960	785	1350	242
CG11581	0	0	0	0
CG11583	50	118	111	23
CG11584	0	0	0	0
CG11585	2	0	2	0
CG11586	283	161	256	62
CG11588	0	0	2	0
CG11590	298	350	201	94
CG11592	0	0	0	0
CG11593	111	89	144	35
CG11594	144	15	172	5
CG11596	910	513	570	87
CG11597	40	15	42	9
CG11598	1	1	0	0
CG11600	0	0	1	0
CG11601	301	336	240	64
CG11608	0	0	0	0
CG1161	1159	654	1099	186
CG11617	36	0	13	0
CG11619	2	4	2	2
CG11626	2	1	1	0
CG11629	3	0	2	0
CG11630	0	0	5	0
CG11634	0	0	0	0
CG11635	0	4	1	0
CG11638	12	3	20	1
CG11652	365	732	706	126
CG11655	1007	433	518	113
CG11656	12	0	18	1
CG11658	108	37	67	1
CG11659	0	0	0	0
CG11660	137	273	157	50
CG11663	0	0	0	0
CG11664	3	0	3	0
CG11665	3857	1648	2600	313
CG11666	0	0	0	0
CG11668	2	0	11	0
CG11670	31	0	12	0
CG11671	9	2	20	0
CG11672	0	0	2	1
CG11674	4729	3549	3207	846
CG11679	497	385	403	63
CG11686	104	36	81	2
CG11693	0	0	1	0
CG11694	0	0	1	0
CG11695	386	175	211	21
CG11696	870	460	613	89
CG11697	0	0	13	0
CG11698	4	0	0	0
CG11699	506	613	303	141
CG11700	14	26	20	3
CG11703	5	0	0	1
CG11710	598	322	436	90
CG11714	0	0	3	0
CG1172	776	190	593	58
CG11722	689	267	374	56
CG11723	322	234	269	73
CG11726	1	0	0	2
CG11737	840	292	416	41
CG11739	90	159	111	27
CG11741	2	0	0	0
CG11752	640	254	415	65
CG11753	335	296	123	52
CG11755	356	372	353	103
CG11756	5	0	4	0
CG11760	0	1	1	1
CG11762	1	0	1	0
CG11768	5	1	5	0
CG11771	4023	1806	2635	444
CG11777	35	52	120	45
CG11779	1313	308	810	50
CG11781	1284	1092	990	303
CG11786	2	0	2	0
CG11788	243	149	211	21
CG11790	794	1158	764	271
CG11791	2	26	7	4
CG11796	0	0	5	0
CG11802	1177	1050	769	202
CG11807	40	42	34	6
CG11808	99	78	62	14
CG11811	1029	818	842	163
CG11815	0	0	0	0
CG11816	0	0	0	0
CG11825	340	503	68	50
CG11828	4	0	5	0
CG11835	6	0	2	0
CG11836	601	546	523	82
CG11837	995	1344	935	368
CG11839	485	257	452	68
CG11841	1	0	0	0
CG11842	0	0	0	0
CG11843	5	6	9	0
CG11851	633	372	515	61
CG11852	15	29	23	5
CG11854	1	0	0	0
CG11857	322	86	291	19
CG11858	891	1087	697	340
CG11859	304	394	383	72
CG11864	0	0	0	0
CG11865	0	0	0	0
CG11866	1116	460	786	105
CG11873	29	55	16	7
CG11875	1194	1088	790	217
CG11876	1203	828	1210	174
CG11877	317	265	250	43
CG11878	0	3	14	1
CG11880	572	414	691	41
CG11882	415	375	242	83
CG11883	117	77	105	26
CG11885	535	466	331	68
CG11889	4	0	17	11
CG11891	7	8	17	11
CG11892	73	91	161	29
CG11893	1	2	2	0
CG11897	1193	1047	1303	159
CG11898	2	0	3	1
CG11899	2520	1723	1955	344
CG11902	29	47	13	10
CG11905	2	0	0	0
CG11906	336	277	300	46
CG11911	0	1	7	0
CG11912	0	0	0	1
CG11913	1	0	5	0
CG11920	725	474	768	201
CG11926	650	510	536	103
CG11927	120	134	183	19
CG11929	0	0	0	0
